lambda,beta,frac_campo,ion
1521.008403,12996997.28,0.148907481,3
1521.008403,12997401.15,0.148956636,3
1521.008403,12997805.58,0.149005827,3
1521.008403,12998210.57,0.149055055,3
1521.008403,12998616.12,0.149104318,3
1521.008403,12999022.22,0.149153618,3
1521.008403,12999428.89,0.149202954,3
1521.008403,12999836.11,0.149252326,3
1521.008403,13000243.9,0.149301733,3
1521.008403,13000652.25,0.149351176,3
1521.008403,13001061.15,0.149400655,3
1521.008403,13001470.62,0.14945017,3
1521.008403,13001880.65,0.149499719,3
1521.008403,13002291.24,0.149549305,3
1521.008403,13002702.39,0.149598925,3
1521.008403,13003114.11,0.149648581,3
1521.008403,13003526.39,0.149698271,3
1521.008403,13003939.23,0.149747997,3
1521.008403,13004352.64,0.149797757,3
1521.008403,13004766.61,0.149847553,3
1525.210084,12924060.85,0.146581964,3
1525.210084,12924424,0.146627887,3
1525.210084,12924787.67,0.146673853,3
1525.210084,12925151.88,0.14671986,3
1525.210084,12925516.62,0.146765908,3
1525.210084,12925881.89,0.146811999,3
1525.210084,12926247.7,0.146858131,3
1525.210084,12926614.04,0.146904305,3
1525.210084,12926980.91,0.14695052,3
1525.210084,12927348.32,0.146996777,3
1525.210084,12927716.26,0.147043074,3
1525.210084,12928084.73,0.147089414,3
1525.210084,12928453.74,0.147135794,3
1525.210084,12928823.29,0.147182215,3
1525.210084,12929193.37,0.147228678,3
1525.210084,12929563.99,0.147275181,3
1525.210084,12929935.14,0.147321725,3
1525.210084,12930306.83,0.14736831,3
1525.210084,12930679.06,0.147414936,3
1525.210084,12931051.83,0.147461602,3
1525.210084,12931425.13,0.147508309,3
1525.210084,12931798.97,0.147555056,3
1525.210084,12932173.35,0.147601844,3
1525.210084,12932548.27,0.147648672,3
1525.210084,12932923.73,0.14769554,3
1525.210084,12933299.72,0.147742449,3
1525.210084,12933676.26,0.147789398,3
1525.210084,12934053.34,0.147836386,3
1525.210084,12934430.96,0.147883415,3
1525.210084,12934809.12,0.147930483,3
1525.210084,12935187.82,0.147977591,3
1525.210084,12935567.06,0.148024739,3
1525.210084,12935946.85,0.148071927,3
1525.210084,12936327.18,0.148119154,3
1525.210084,12936708.05,0.14816642,3
1525.210084,12937089.46,0.148213726,3
1525.210084,12937471.42,0.148261071,3
1525.210084,12937853.92,0.148308456,3
1525.210084,12938236.97,0.148355879,3
1525.210084,12938620.56,0.148403342,3
1525.210084,12939004.7,0.148450843,3
1525.210084,12939389.38,0.148498384,3
1525.210084,12939774.61,0.148545963,3
1525.210084,12940160.38,0.148593581,3
1525.210084,12940546.7,0.148641237,3
1525.210084,12940933.57,0.148688932,3
1525.210084,12941320.98,0.148736666,3
1525.210084,12941708.95,0.148784438,3
1525.210084,12942097.46,0.148832248,3
1525.210084,12942486.52,0.148880097,3
1525.210084,12942876.12,0.148927983,3
1525.210084,12943266.28,0.148975908,3
1525.210084,12943656.99,0.14902387,3
1525.210084,12944048.24,0.149071871,3
1525.210084,12944440.05,0.149119909,3
1525.210084,12944832.41,0.149167985,3
1525.210084,12945225.31,0.149216098,3
1525.210084,12945618.77,0.149264249,3
1525.210084,12946012.79,0.149312438,3
1525.210084,12946407.35,0.149360663,3
1525.210084,12946802.46,0.149408926,3
1525.210084,12947198.13,0.149457227,3
1525.210084,12947594.35,0.149505564,3
1525.210084,12947991.13,0.149553938,3
1525.210084,12948388.46,0.149602349,3
1525.210084,12948786.34,0.149650797,3
1525.210084,12949184.78,0.149699282,3
1525.210084,12949583.77,0.149747803,3
1525.210084,12949983.32,0.149796361,3
1525.210084,12950383.42,0.149844955,3
1525.210084,12950784.08,0.149893586,3
1525.210084,12951185.3,0.149942253,3
1525.210084,12951587.07,0.149990956,3
1525.210084,12951989.4,0.150039695,3
1525.210084,12952392.29,0.15008847,3
1525.210084,12952795.74,0.150137281,3
1525.210084,12953199.74,0.150186128,3
1525.210084,12953604.3,0.15023501,3
1525.210084,12954009.42,0.150283928,3
1525.210084,12954415.1,0.150332882,3
1525.210084,12954821.35,0.150381871,3
1525.210084,12955228.15,0.150430895,3
1525.210084,12955635.51,0.150479955,3
1525.210084,12956043.43,0.150529049,3
1525.210084,12956451.91,0.150578179,3
1525.210084,12956860.96,0.150627344,3
1525.210084,12957270.56,0.150676543,3
1525.210084,12957680.73,0.150725777,3
1525.210084,12958091.47,0.150775046,3
1525.210084,12958502.76,0.15082435,3
1525.210084,12958914.62,0.150873688,3
1525.210084,12959327.04,0.15092306,3
1525.210084,12959740.03,0.150972466,3
1525.210084,12960153.58,0.151021907,3
1525.210084,12960567.69,0.151071382,3
1525.210084,12960982.37,0.15112089,3
1525.210084,12961397.62,0.151170433,3
1525.210084,12961813.43,0.151220009,3
1525.210084,12962229.81,0.151269619,3
1525.210084,12962646.75,0.151319262,3
1529.411765,12881885.87,0.148071755,3
1529.411765,12882251.73,0.148117619,3
1529.411765,12882618.13,0.148163524,3
1529.411765,12882985.07,0.14820947,3
1529.411765,12883352.54,0.148255457,3
1529.411765,12883720.54,0.148301485,3
1529.411765,12884089.08,0.148347553,3
1529.411765,12884458.16,0.148393662,3
1529.411765,12884827.77,0.148439812,3
1529.411765,12885197.92,0.148486002,3
